Ativo;codigo
IBOVESPA;^BVSP
It Now PIBB IBrX-50 Index Fund - PIBB11 ETF;PIBB11.SA
iShares IBrX-Indice Brasil (IBrX-100) Fundo de Içndice ETF;BRAX11.SA
IPC MEXICO;^MXX
MERVAL;^MERV
NASDAQ_Composite;^IXIC
IShares_S&P500;IVVB11.SA
S&P500;^GSPC
Dow_Jones_Industrial_Average;^DJI
NYSE COMPOSITE(DJ);^NYA
NYSE AMEX COMPOSITE INDEX;^XAX
Russell 2000;^RUT
FTSE 100;^FTSE
Nikkei 225;^N225
DAX PERFORMANCE-INDEX;^GDAXI
CAC 40;^FCHI
HANG SENG INDEX;^HSI
S&P/ASX 200;^AXJO
SSE Composite Index;^SSEC
KOSPI Composite Index;^KS11
EUR/USD;EURUSD=X
GBP/USD;GBPUSD=X
USD/JPY;JPY=X
AUD/USD;AUDUSD=X
USD/CNY;CNY=X
USD/HKD;HKD=X
USD/MXN;MXN=X
USD/ZAR;ZAR=X
Treasury Yield 10 Years;^TNX
CBOE Volatility Index;^VIX
