acao;codigo
ABC BRASIL;ABCB4
ADVANCED-DH;ADHM3
AES TIETE E;TIET11
ALIANSCSONAE;ALSO3
ALLIAR;AALR3
ALPARGATAS;ALPA3
ALPARGATAS;ALPA4
ALPER S.A.;APER3
ALUPAR;ALUP11
AMBEV S/A;ABEV3
AMBIPAR;AMBP3
ANIMA;ANIM3
AREZZO CO;ARZZ3
AZUL;AZUL4
B2W DIGITAL;BTOW3
B3;B3SA3
BAHEMA;BAHI3
BANCO BMG;BMGB11
BANCO BMG;BMGB4
BANCO INTER;BIDI11
BANCO INTER;BIDI4
BANCO PAN;BPAN4
BANESE;BGIP4
BANRISUL;BRSR3
BANRISUL;BRSR6
BBSEGURIDADE;BBSE3
BIOMM;BIOM3
BIOSEV;BSEV3
BK BRASIL;BKBR3
BR BROKERS;BBRK3
BR MALLS PAR;BRML3
BR PROPERT;BRPR3
BRADESCO;BBDC3
BRADESCO;BBDC4
BRADESPAR;BRAP3
BRADESPAR;BRAP4
BRASIL;BBAS3
BRASILAGRO;AGRO3
BRASKEM;BRKM3
BRASKEM;BRKM5
BRF SA;BRFS3
BTGP BANCO;BPAC11
CAMBUCI;CAMB4
CAMIL;CAML3
CARREFOUR BR;CRFB3
CCR SA;CCRO3
CCX CARVAO;CCXC3
CEA MODAS;CEAB3
CEDRO;CEDO4
CELESC;CLSC4
CEMIG;CMIG3
CEMIG;CMIG4
CENTAURO;CNTO3
CESP;CESP3
CESP;CESP6
CIA HERING;HGTX3
CIELO;CIEL3
COELCE;COCE5
COGNA ON;COGN3
COPASA;CSMG3
COPEL;CPLE3
COPEL;CPLE6
COSAN;CSAN3
COSAN LOG;RLOG3
COTEMINAS;CTNM4
CPFL ENERGIA;CPFE3
CPFL RENOVAV;CPRE3
CR2;CRDE3
CSU CARDSYST;CARD3
CVC BRASIL;CVCB3
CYRE COM-CCP;CCPR3
CYRELA REALT;CYRE3
DASA;DASA3
DIRECIONAL;DIRR3
DOMMO;DMMO3
DURATEX;DTEX3
ECORODOVIAS;ECOR3
ELETROBRAS;ELET3
ELETROBRAS;ELET6
ELETROPAULO;ELPL3
EMBRAER;EMBR3
ENAUTA PART;ENAT3
ENERGIAS BR;ENBR3
ENERGISA;ENGI11
ENEVA;ENEV3
ENGIE BRASIL;EGIE3
EQUATORIAL;EQTL3
ESTAPAR;ALPK3
EUCATEX;EUCA4
EVEN;EVEN3
EZTEC;EZTC3
FERBASA;FESA4
FLEURY;FLRY3
FORJA TAURUS;TASA3
FORJA TAURUS;TASA4
FRAS-LE;FRAS3
GAFISA;GFSA3
GENERALSHOPP;GSHP3
GER PARANAP;GEPA4
GERDAU;GGBR3
GERDAU;GGBR4
GERDAU MET;GOAU3
GERDAU MET;GOAU4
GOL;GOLL4
GRAZZIOTIN;CGRA3
GRAZZIOTIN;CGRA4
GRENDENE;GRND3
GRUPO NATURA;NTCO3
GUARARAPES;GUAR3
HAPVIDA;HAPV3
HELBOR;HBOR3
HYPERA;HYPE3
IGUATEMI;IGTA3
IHPARDINI;PARD3
IMC S/A;MEAL3
INDS ROMI;ROMI3
INDUSVAL;IDVL3
INDUSVAL;IDVL4
INTERMEDICA;GNDI3
IOCHP-MAXION;MYPK3
IRBBRASIL RE;IRBR3
ITAUSA;ITSA3
ITAUSA;ITSA4
ITAUUNIBANCO;ITUB3
ITAUUNIBANCO;ITUB4
JBS;JBSS3
JHSF PART;JHSF3
JOAO FORTES;JFEN3
JSL;JSLG3
KEPLER WEBER;KEPL3
KLABIN S/A;KLBN11
LE LIS BLANC;LLIS3
LIGHT S/A;LIGT3
LINX;LINX3
LIQ;LIQO3
LOCALIZA;RENT3
LOCAMERICA;LCAM3
LOCAWEB;LWSA3
LOG COM PROP;LOGG3
LOG-IN;LOGN3
LOJAS AMERIC;LAME3
LOJAS AMERIC;LAME4
LOJAS MARISA;AMAR3
LOJAS RENNER;LREN3
LOPES BRASIL;LPSB3
M.DIASBRANCO;MDIA3
MAGAZ LUIZA;MGLU3
MARCOPOLO;POMO3
MARCOPOLO;POMO4
MARFRIG;MRFG3
METAL LEVE;LEVE3
MILLS;MILS3
MINERVA;BEEF3
MITRE REALTY;MTRE3
MOURA DUBEUX;MDNE3
MOVIDA;MOVI3
MRV;MRVE3
MULTIPLAN;MULT3
NATURA;NATU3
NEOENERGIA;NEOE3
ODONTOPREV;ODPV3
OMEGA GER;OMGE3
OUROFINO S/A;OFSA3
P.ACUCAR-CBD;PCAR3
P.ACUCAR-CBD;PCAR4
PARANAPANEMA;PMAM3
PETROBRAS;PETR3
PETROBRAS;PETR4
PETROBRAS BR;BRDT3
PETRORIO;PRIO3
PETTENATI;PTNT4
PINE;PINE4
PORTO SEGURO;PSSA3
PORTOBELLO;PTBL3
POSITIVO TEC;POSI3
PRINER;PRNR3
PROFARMA;PFRM3
QUALICORP;QUAL3
RAIADROGASIL;RADL3
RANDON PART;RAPT3
RANDON PART;RAPT4
RNI;RDNI3
ROSSI RESID;RSID3
RUMO S.A.;RAIL3
SABESP;SBSP3
SANEPAR;SAPR11
SANEPAR;SAPR4
SANTANDER BR;SANB11
SANTOS BRP;STBP3
SAO CARLOS;SCAR3
SAO MARTINHO;SMTO3
SER EDUCA;SEER3
SID NACIONAL;CSNA3
SINQIA;SQIA3
SLC AGRICOLA;SLCE3
SMILES;SMLS3
SPRINGS;SGPS3
SUL AMERICA;SULA11
SUZANO S.A.;SUZB3
TAESA;TAEE11
TAURUS ARMAS;TASA3
TAURUS ARMAS;TASA4
TECHNOS;TECN3
TECNISA;TCSA3
TEGMA;TGMA3
TELEF BRASIL;VIVT4
TENDA;TEND3
TERRA SANTA;TESA3
TIM PART S/A;TIMP3
TIME FOR FUN;SHOW3
TOTVS;TOTS3
TRAN PAULIST;TRPL4
TRISUL;TRIS3
TRIUNFO PART;TPIS3
TUPY;TUPY3
ULTRAPAR;UGPA3
UNICASA;UCAS3
UNIPAR;UNIP6
USIMINAS;USIM3
USIMINAS;USIM5
VALE;VALE3
VALID;VLID3
VIAVAREJO;VVAR3
VIVARA S.A.;VIVA3
VULCABRAS;VULC3
WEG;WEGE3
WIZ S.A.;WIZS3
YDUQS PART;YDUQ3
