Date;12461 - Anbima Market Index of the prefixed federal bonds - IFR-M - Index;12462 - Anbima Market Index of the federal bonds tied to the SELIC rate - IMA-S - Index;12463 - Anbima Market Index of the federal bonds tied to the IGP-M index - IMA-C - Index;12466 - Anbima Market Index of the federal bonds tied to the IPCA index - IMA-B - Index;12467 - Anbima Market Index of the federal bonds tied to the IPCA index with maturities below to five years - IMA-B 5 - Index;12468 - Anbima Market Index of the federal bonds tied to the IPCA index with maturities equal or above five years - IMA-B 5+ - Index;12469 - General Anbima Market Index - IMA - General - Index;17626 - Anbima Market Index of prefixed federal bonds with maturities below to one year - IRF-M 1 - Index;17627 - Anbima Market Index of the prefixed federal bonds with maturities equal or above one year - IRF-M 1+ - Index;17628 - General Anbima Market Index - IMA-General ex-C - Index;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
02/01/2017;9501.331889;3760.541892;4906.898353;4902.949637;4622.754114;5679.794042;4254.332032;8,842.39;10204.26615;4226.38591;ret_IRF-M;ret_IMA_S;ret_IMA_C;ret_IMA_B;ret_IMA_B5;ret_IMA_B5plus;ret_IMA_General;ret_IRF-M1;ret_IRF-M1plus;ret_IMA_gen_exC;;;;;;;;;;;;;;;;;;;;;;;;;;
03/01/2017;9504.091195;3762.42986;4918.839196;4893.287993;4627.293595;5659.921372;4253.183605;8,846.74;10206.4755;4224.808119;0.000290413;0.000502047;0.002433481;-0.001970578;0.000981986;-0.003498836;-0.000269943;0.000491167;0.000216513;-0.000373319;;Matriz de Correlação;;;;;;;;;;;;Matriz de Correlação - ULTIMO 180 dias;;;;;;;;;;;;
04/01/2017;9484.045729;3764.353437;4925.708808;4878.090298;4628.690202;5632.314735;4246.846807;8,849.80;10175.7213;4218.04597;-0.002109141;0.000511259;0.001396592;-0.003105825;0.000301819;-0.004877565;-0.001489895;0.000346158;-0.003013205;-0.001600581;;;;;;;;;;;;;;;;;;;;;;;;;;
05/01/2017;9507.605801;3766.255808;4941.58271;4892.559175;4636.455643;5652.813376;4255.578688;8,859.27;10206.31504;4226.529377;0.00248418;0.000505365;0.003222664;0.002966095;0.001677676;0.00363947;0.002056086;0.001070285;0.003006543;0.002011217;;;;;;;;;;;;;;;;;;;;;;;;;;
06/01/2017;9507.497419;3768.097391;4938.184815;4877.835303;4632.492948;5629.448046;4252.111554;8,863.31;10204.43991;4223.065222;-1.13995E-05;0.000488969;-0.000687613;-0.003009442;-0.000854682;-0.004133398;-0.000814727;0.000455933;-0.000183722;-0.000819622;;;;;;;;;;;;;;;;;;;;;;;;;;
09/01/2017;9522.088854;3769.906515;4931.9013;4876.829557;4632.55504;5627.640397;4254.530444;8,868.18;10223.80905;4225.767064;0.001534729;0.000480116;-0.001272434;-0.000206187;1.34036E-05;-0.000321106;0.000568868;0.000549889;0.001898109;0.000639782;;;;;;;;;;;;;;;;;;;;;;;;;;
10/01/2017;9545.83442;3771.769052;4932.10234;4882.654962;4635.109268;5636.257421;4260.442309;8,873.63;10256.38716;4231.858052;0.002493735;0.000494054;4.07632E-05;0.001194507;0.000551365;0.001531197;0.001389546;0.00061367;0.003186495;0.001441392;;;;;;;;;;;;;;;;;;;;;;;;;;
11/01/2017;9544.524329;3773.629691;4928.483931;4873.580812;4631.825907;5622.392609;4258.313989;8,877.37;10252.87006;4229.782038;-0.000137242;0.000493307;-0.000733644;-0.001858446;-0.000708368;-0.002459932;-0.000499554;0.000422374;-0.000342919;-0.000490568;;;;;;;;;;;;;;;;;;;;;;;;;;
12/01/2017;9616.057456;3775.503896;4978.612601;4956.386547;4664.392418;5747.259044;4294.042034;8,896.56;10349.82559;4264.981591;0.007494677;0.000496658;0.010171215;0.016990738;0.007031031;0.022208772;0.008390186;0.002161118;0.009456428;0.008321836;;;;;;;;;;;;;;;;;;;;;;;;;;
13/01/2017;9610.764874;3777.320981;4997.509822;4964.981963;4667.833815;5760.18171;4296.77147;8,898.22;10341.34256;4267.174387;-0.00055039;0.000481283;0.00379568;0.00173421;0.000737802;0.002248492;0.000635633;0.000186941;-0.00081963;0.00051414;;;;;;;;;;;;;;;;;;;;;;;;;;
16/01/2017;9623.538837;3779.138149;5018.769365;4980.361305;4671.635064;5784.802068;4304.215911;8,903.12;10358.0307;4274.152524;0.001329131;0.000481073;0.004254027;0.003097563;0.00081435;0.004274233;0.001732566;0.00055052;0.001613731;0.001635306;;;;;;;;;;;;;;;;;;;;;;;;;;
17/01/2017;9630.651626;3780.963445;5027.000995;4982.729137;4673.712331;5787.643712;4306.853066;8,906.33;10367.12008;4276.60142;0.000739103;0.000482993;0.001640169;0.000475434;0.000444655;0.000491226;0.000612691;0.000360019;0.00087752;0.000572955;;;;;;;;;;;;;;;;;;;;;;;;;;
18/01/2017;9624.940367;3782.841177;5019.527521;4961.876623;4672.231348;5751.936606;4300.742394;8,910.30;10357.04164;4270.544902;-0.000593029;0.000496628;-0.001486667;-0.004184958;-0.000316875;-0.006169541;-0.001418825;0.000445823;-0.000972154;-0.001416199;;;;;;;;;;;;;;;;;;;;;;;;;;
