Date;12461 - Anbima Market Index of the prefixed federal bonds - IFR-M - Index;12462 - Anbima Market Index of the federal bonds tied to the SELIC rate - IMA-S - Index;12463 - Anbima Market Index of the federal bonds tied to the IGP-M index - IMA-C - Index;12466 - Anbima Market Index of the federal bonds tied to the IPCA index - IMA-B - Index;12467 - Anbima Market Index of the federal bonds tied to the IPCA index with maturities below to five years - IMA-B 5 - Index;12468 - Anbima Market Index of the federal bonds tied to the IPCA index with maturities equal or above five years - IMA-B 5+ - Index;12469 - General Anbima Market Index - IMA - General - Index;17626 - Anbima Market Index of prefixed federal bonds with maturities below to one year - IRF-M 1 - Index;17627 - Anbima Market Index of the prefixed federal bonds with maturities equal or above one year - IRF-M 1+ - Index;17628 - General Anbima Market Index - IMA-General ex-C - Index
02/01/2017;9,501.331889 ;3,760.541892 ;4,906.898353 ;4,902.949637 ;4,622.754114 ;5,679.794042 ;4,254.332032 ;8,842.393924 ;10,204.266145 ;4,226.385910
03/01/2017;9,504.091195 ;3,762.429860 ;4,918.839196 ;4,893.287993 ;4,627.293595 ;5,659.921372 ;4,253.183605 ;8,846.737017 ;10,206.475503 ;4,224.808119
04/01/2017;9,484.045729 ;3,764.353437 ;4,925.708808 ;4,878.090298 ;4,628.690202 ;5,632.314735 ;4,246.846807 ;8,849.799390 ;10,175.721295 ;4,218.045970
05/01/2017;9,507.605801 ;3,766.255808 ;4,941.582710 ;4,892.559175 ;4,636.455643 ;5,652.813376 ;4,255.578688 ;8,859.271197 ;10,206.315041 ;4,226.529377
06/01/2017;9,507.497419 ;3,768.097391 ;4,938.184815 ;4,877.835303 ;4,632.492948 ;5,629.448046 ;4,252.111554 ;8,863.310433 ;10,204.439913 ;4,223.065222
09/01/2017;9,522.088854 ;3,769.906515 ;4,931.901300 ;4,876.829557 ;4,632.555040 ;5,627.640397 ;4,254.530444 ;8,868.184272 ;10,223.809048 ;4,225.767064
10/01/2017;9,545.834420 ;3,771.769052 ;4,932.102340 ;4,882.654962 ;4,635.109268 ;5,636.257421 ;4,260.442309 ;8,873.626409 ;10,256.387161 ;4,231.858052
11/01/2017;9,544.524329 ;3,773.629691 ;4,928.483931 ;4,873.580812 ;4,631.825907 ;5,622.392609 ;4,258.313989 ;8,877.374396 ;10,252.870055 ;4,229.782038
12/01/2017;9,616.057456 ;3,775.503896 ;4,978.612601 ;4,956.386547 ;4,664.392418 ;5,747.259044 ;4,294.042034 ;8,896.559448 ;10,349.825586 ;4,264.981591
13/01/2017;9,610.764874 ;3,777.320981 ;4,997.509822 ;4,964.981963 ;4,667.833815 ;5,760.181710 ;4,296.771470 ;8,898.222583 ;10,341.342559 ;4,267.174387
16/01/2017;9,623.538837 ;3,779.138149 ;5,018.769365 ;4,980.361305 ;4,671.635064 ;5,784.802068 ;4,304.215911 ;8,903.121229 ;10,358.030699 ;4,274.152524
17/01/2017;9,630.651626 ;3,780.963445 ;5,027.000995 ;4,982.729137 ;4,673.712331 ;5,787.643712 ;4,306.853066 ;8,906.326522 ;10,367.120079 ;4,276.601420
18/01/2017;9,624.940367 ;3,782.841177 ;5,019.527521 ;4,961.876623 ;4,672.231348 ;5,751.936606 ;4,300.742394 ;8,910.297164 ;10,357.041643 ;4,270.544902
19/01/2017;9,646.777952 ;3,784.696773 ;5,018.891252 ;4,963.145859 ;4,672.691156 ;5,753.875134 ;4,305.098052 ;8,917.057301 ;10,386.256422 ;4,275.058368
20/01/2017;9,664.753890 ;3,786.528821 ;5,016.432620 ;4,962.211166 ;4,672.490989 ;5,752.359599 ;4,308.192089 ;8,922.849523 ;10,410.208359 ;4,278.330595
