Date;YEAR;MONTH;ANBIMA366_TJTLN12366;ANBIMA366_TJTLN1366;ANBIMA366_TJTLN3366;ANBIMA366_TJTLN6366;BMF366_FUT1DOL366;BMF366_FUT3DOL366;BMF366_FUT3DOLV366;EIA366_PBRENT366;EIA366_PWTI366;GM366_DOW366;GM366_ERTUR366;GM366_ERV366;GM366_ERVV366;GM366_EUROV366;GM366_IBVSP366;GM366_IBVSPV366;SGS366_NASDAQ366;VALOR366_FEDFUND366;IRF-M;IMA-S;IMA-C;IMA-B;IMA-B5;IMA-B5plus;IMA-Geral;IRF-M1;IRF-M1plus;IMA-Geral_exC
2017-01-01;2017;1;11.5018;13.3029;12.9943;12.3876;3.26;3.306;0.943710628027875;54.95;53.8;;0.0;;;;;;;0.625;;;;;;;;;;
2017-01-02;2017;1;11.5016;13.2233;12.956;12.3768;3.302217;3.344;0.93753281139299;54.96;53.75;;3.38;3.2729;0.800921637092555;3.428;59588.0;1.24183207320771;;0.625;9501.331889;3760.541892;4906.898353;4902.949637;4622.754114;5679.794042;4254.332032;8842.393924;10204.266145;4226.38591
2017-01-03;2017;1;11.3985;13.048;12.8894;12.3164;3.289;0.0;;55.05;52.36;19882.0;3.39;3.2632;0.800449229544578;3.3908;61813.0;1.45204739327706;5429.0;0.625;9504.091195;3762.42986;4918.839196;4893.287993;4627.293595;5659.921372;4253.183605;8846.737017;10206.475503;4224.808119
2017-01-04;2017;1;11.424;12.9502;12.8653;12.3331;3.252;0.0;;54.57;53.26;19942.0;3.35;3.2333;0.807468474611175;3.3836;61589.0;1.44110511058978;5477.0;0.625;9484.045729;3764.353437;4925.708808;4878.090298;4628.690202;5632.314735;4246.846807;8849.79939;10175.721295;4218.04597
2017-01-05;2017;1;11.4087;13.1221;12.9178;12.325;3.302217;3.344;0.930451374238597;54.99;53.77;19899.0;3.41;3.2129;0.775193610541254;3.3886;62070.0;1.38014962929252;5488.0;0.625;9507.605801;3766.255808;4941.58271;4892.559175;4636.455643;5652.813376;4255.578688;8859.271197;10206.315041;4226.529377
2017-01-06;2017;1;11.3985;13.048;12.8894;12.3164;3.289;3.285;0.987704595994149;55.05;52.36;19964.0;3.39;3.2057;0.763522683139628;3.3843;61665.0;1.38482312480826;5521.0;0.625;9507.497419;3768.097391;4938.184815;4877.835303;4632.492948;5629.448046;4252.111554;8863.310433;10204.439913;4223.065222
2017-01-07;2017;1;11.424;12.9502;12.8653;12.3331;3.252;0.0;;54.57;53.26;;3.35;;;;;;;0.625;;;;;;;;;;
2017-01-08;2017;1;11.2949;12.9079;12.7754;12.2188;3.232;0.0;;54.99;53.77;;3.32;;;;;;;0.625;;;;;;;;;;
2017-01-09;2017;1;11.3018;12.9394;12.7599;12.1953;3.23;3.285;0.985710678588757;55.9;53.98;19887.0;3.35;3.2097;0.767563589721283;3.3798;61700.0;1.35592935468734;5532.0;0.625;9522.088854;3769.906515;4931.9013;4876.829557;4632.55504;5627.640397;4254.530444;8868.184272;10223.809048;4225.767064
2017-01-10;2017;1;11.2415;12.9601;12.7132;12.1256;3.212;3.264;0.939315366331366;53.2;50.82;19856.0;3.32;3.1918;0.768969996944865;3.3824;62131.0;1.3595491108307;5552.0;0.625;9545.83442;3771.769052;4932.10234;4882.654962;4635.109268;5636.257421;4260.442309;8873.626409;10256.387161;4231.858052
