nome_fundo;CNPJ;PL_20210114;share
IBIUNA HEDGE STH FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO;15.799.713/0001-34;7689.38;4.44
KINEA CHRONOS FUNDO DE INVESTIMENTO MULTIMERCADO;21.624.757/0001-26;6468.96;3.69
KAPITALO ZETA A FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO;20.270.180/0001-39;3780.37;2.21
ABSOLUTE VERTEX II FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO;23.565.803/0001-99;3403.3;1.97
SAFRA GALILEO AG FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO;27.249.881/0001-35;3178.35;1.81
SANTANDER ACTIVE PORTFOLIO MULT CRÉD PRIV FIC FI;29.549.588/0001-19;2945.41;1.69
KINEA ATLAS II FUNDO DE INVESTIMENTO MULTIMERCADO;29.762.315/0001-58;2764.55;1.57
GROWLER FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO;18.489.908/0001-76;2588.84;1.51
ADAM MACRO 1 FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO;24.119.419/0001-25;2600.2;1.49
OCCAM RETORNO ABSOLUTO ADVISORY FI EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO;34.475.592/0001-10;2489.02;1.45
SAFRA GALILEO FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO;10.347.249/0001-21;2547.36;1.45
TRUXT II LONG BIAS FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO;26.269.611/0001-23;2421.25;1.44
DAHLIA TOTAL RETURN ADVISORY FUNDO DE INVESTIMENTO EM COTAS DE FUNDO DE INVESTIMENTO MULTIMERCADO;34.309.551/0001-53;2306.6;1.35
ABSOLUTE VERTEX FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO;21.470.989/0001-77;2280.33;1.32
SAFRA GALILEO PB FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO;27.249.912/0001-58;2249.83;1.28
VERDE AM SCENA ADVISORY FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO;24.048.538/0001-34;2060.59;1.19
LEGACY CAPITAL ADVISORY FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO;30.566.221/0001-92;2047.51;1.16
ABSOLUTE VERTEX CSHG FUNDO DE INVESTIMENTO EM COTAS DE FUNDO DE INVESTIMENTO MULTIMERCADO;18.422.272/0001-45;1835.75;1.06
ADAM MACRO II FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO;24.029.438/0001-60;1825.14;1.05
